run,condition,scenario,trace_path,battery_csv_path,energy_total_mj,battery_energy_valid,battery_current_nonzero_samples,battery_current_nonzero_ratio,avg_current_ma,avg_voltage_v,duration_s,sample_count,avg_power_mw,avg_cpu_freq_mhz,cpu_big_core_pct,cpu_freq_residency_ghz_s,cpu_energy_proxy_score,cpu_energy_proxy_per_s,peak_memory_rss_kb,frame_janks,energy_method,parse_error
1,csr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_1_csr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_1_csr_massive.battery.csv,6100.9,True,17,1.0,181.0,4.063,8.3,17,735.4,,,,,,,,adb_dumpsys_battery_polling,
20,csr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_20_csr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_20_csr_static.battery.csv,6437.37,True,18,1.0,185.0,4.048,8.6,18,748.9,,,,,,,,adb_dumpsys_battery_polling,
21,csr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_21_csr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_21_csr_massive.battery.csv,6159.33,True,17,1.0,176.0,4.043,8.7,17,711.6,,,,,,,,adb_dumpsys_battery_polling,
22,csr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_22_csr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_22_csr_static.battery.csv,40671.44,True,17,1.0,1295.65,3.967,7.9,17,5136.6,,,,,,,,adb_dumpsys_battery_polling,
23,ssr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_23_ssr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_23_ssr_dynamic.battery.csv,6330.53,True,16,1.0,179.0,4.046,8.7,16,724.2,,,,,,,,adb_dumpsys_battery_polling,
24,csr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_24_csr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_24_csr_dynamic.battery.csv,6022.69,True,17,1.0,179.0,4.045,8.3,17,724.1,,,,,,,,adb_dumpsys_battery_polling,
25,ssr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_25_ssr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_25_ssr_massive.battery.csv,7238.4,True,15,1.0,236.0,4.041,7.6,15,953.7,,,,,,,,adb_dumpsys_battery_polling,
26,ssr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_26_ssr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_26_ssr_static.battery.csv,7171.37,True,16,1.0,233.0,4.045,7.6,16,942.5,,,,,,,,adb_dumpsys_battery_polling,
27,ssr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_27_ssr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_27_ssr_dynamic.battery.csv,5801.51,True,15,1.0,200.6,4.042,7.2,15,808.5,,,,,,,,adb_dumpsys_battery_polling,
28,ssr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_28_ssr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_28_ssr_static.battery.csv,10097.94,True,14,1.0,329.0,4.038,7.6,14,1328.5,,,,,,,,adb_dumpsys_battery_polling,
29,csr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_29_csr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_29_csr_massive.battery.csv,8291.31,True,16,1.0,241.0,4.038,8.5,16,973.2,,,,,,,,adb_dumpsys_battery_polling,
2,csr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_2_csr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_2_csr_static.battery.csv,6614.15,True,18,1.0,190.0,4.062,8.6,18,771.8,,,,,,,,adb_dumpsys_battery_polling,
30,ssr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_30_ssr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_30_ssr_massive.battery.csv,8814.17,True,14,1.0,304.71,4.038,7.1,14,1233.3,,,,,,,,adb_dumpsys_battery_polling,
31,ssr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_31_ssr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_31_ssr_static.battery.csv,5583.89,True,13,1.0,197.0,4.04,7.0,13,795.9,,,,,,,,adb_dumpsys_battery_polling,
32,csr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_32_csr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_104715/raw/run_32_csr_static.battery.csv,6763.16,True,14,1.0,195.0,4.039,8.6,14,787.6,,,,,,,,adb_dumpsys_battery_polling,
